order	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Flavobacteriales	0,497109	3,128885	0,11373	0,352266	0,210079	0,093465	0,443221	0,372848	0,33534	0,412021	0,337436	0,712033	1,106214	0,443987	2,659506	0,902238	0,737375	1,684115	1,240212	1,138055	1,009606	1,920217	0,202655	0,276335	1,787478	0,821267	0,211609	2,407283	0,722151	0,943726	0,888174	3,858177	0,32065	0,198147	1,202757	0,124937	0,852425	1,071593	6,730473	0,271083	1,358041	1,968996	4,919237	0,284924	0,236429	0,264328	0,494144	0,900412	0,623861	0,694873
Frankiales	0,079752	0,104195	0,076814	0,07076	0,078611	0,064793	0,098566	0,078529	0,141723	0,064733	0,087859	0,130293	0,191206	0,055178	0,153524	0,113616	0,088072	0,188152	0,150626	0,091363	0,123282	0,044786	0,083541	0,055195	0,109558	0,164422	0,057441	0,131972	0,083323	0,105656	0,086414	0,122462	0,128141	0,108784	0,143533	0,058966	0,120944	0,109242	0,129035	0,054641	0,071879	0,159709	0,169378	0,084847	0,058572	0,091439	0,237081	0,20953	0,07373	0,121899
Gaiellales	0,013758	0	0	0	0	0	0	0,025275	0	0	0	0,010925	0	0	0,010871	0,049974	0,01588	0	0	0	0,012424	0	0	0	0,024743	0,01182	0	0,092757	0	0,014708	0,024878	0,048505	0,02072	0	0	0	0	0	0,008992	0	0	0,031264	0	0,012326	0,010969	0,013692	0	0,03522	0	0,026578
Gemmatales	0,124966	0,04249	0,148669	0,209709	0,171003	0,060042	0,045242	0,226818	0,190355	0,06077	0,218752	0,179059	0,042648	0,133981	0,038716	0,292172	0,525015	0,083273	0,110054	0,04342	0,255553	0,055958	0,097118	0,432446	0,184513	0,091449	0,097799	0,244435	0,111171	0,19605	0,121492	0,227484	0,120754	0,051328	0,051713	0,066811	0,046064	0,225458	0,210591	0,092989	0,066971	0,18477	0,061398	0,068218	0,208053	0,194341	0,040881	0,124414	0,286705	0,155822
Gemmatimonadales	0,040582	0,019677	0,010843	0,033136	0,079615	0,019647	0,011427	0,070234	0,046374	0,011271	0,126423	0,11896	0,054133	0,031636	0,024465	0,052612	0,186475	0,04331	0,081132	0,024925	0,073905	0	0,019033	0,026444	0,069672	0,048596	0	0,144303	0,047431	0,151685	0,05193	0,194168	0,050378	0,008616	0,051777	0,02462	0,027516	0,063352	0,092016	0,014738	0,063683	0,050218	0,03757	0,014634	0,057739	0,0523	0,059028	0,049601	0,047779	0,066906
Geodermatophilales	0,058239	0,023217	0,019898	0,009474	0,008797	0	0,019606	0,068209	0,037935	0,020445	0,059009	0,05313	0,012805	0	0,04393	0,075783	0,079343	0,064895	0,075457	0,042079	0,071455	0,010454	0,019036	0,036595	0,061625	0,064649	0,008748	0,607521	0,077166	0,06415	0,058146	0,433361	0,089508	0,032467	0,139944	0,011458	0,057825	0,053511	0,443004	0,017005	0,174526	0,065421	0,027919	0,017163	0,037293	0,052266	0,043137	0,07044	0,038545	0,056562
Glycomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,024208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herpetosiphonales	0	0	0	0	0	0	0	0	0	0	0	0,362288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,022056	0	0,475695	0	0,035986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holophagales	0,008773	0	0	0	0	0	0	0	0	0	0,015519	0	0	0	0,009965	0,011976	0,172872	0,036171	0	0	0,044092	0	0	0	0	0	0	0,009544	0	0	0,011123	0,009756	0,064644	0	0	0	0	0,052933	0	0,028521	0,04404	0	0,022955	0	0,015143	0,009202	0	0,015573	0,035966	0,019112
Holosporales	0	0	0	0,016574	0	0	0	0	0	0	0	0	0	0	0	0	0,010067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,021724	0	0	0	0,01314	0
Hydrogenophilales	0,011903	0	0	0,028057	0,009707	0,030238	0,008733	0,032919	0,027011	0,008519	0,039715	0	0,009538	0,011263	0,009546	0,023757	0,033757	0	0,009608	0,023306	0,021628	0	0,037122	0	0,021339	0,028341	0,020665	0,012015	0	0	0,025616	0,014145	0,037935	0,009879	0,01846	0	0,026077	0,023496	0	0,037722	0,027935	0,010077	0	0,020901	0,035728	0,024884	0,010516	0,018104	0,02789	0,027996
Hyphomonadales	0,01656	0,009555	0	0,044013	0,019602	0	0,010541	0,039041	0,063861	0,008355	0,056003	0,035287	0,024714	0,009932	0,010929	0,078773	0,064806	0,009228	0,040251	0,021365	0,065453	0	0,023281	0,016494	0,042628	0,032444	0,009936	0,038166	0,034638	0,07793	0,033295	0,030366	0,027036	0	0,072564	0	0,086751	0,059706	0,025063	0,034934	0,028627	0,048434	0,01253	0,016403	0,051722	0,054066	0,021428	0,028838	0,05958	0,047427
Ignavibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,022738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,020603	0	0	0	0	0	0	0	0	0
Isosphaerales	0,048883	0,009482	0,098078	0,060742	0,060854	0,02246	0	0,085077	0,051754	0,029457	0,060129	0,042229	0,009932	0,019782	0,013893	0,092911	0,14155	0,042479	0,031536	0,020629	0,059303	0,026619	0,049454	0,272884	0,051528	0,042099	0,044735	0,068554	0,034201	0,040509	0,049135	0,06255	0,103929	0,047226	0,030808	0,040399	0,01688	0,053444	0,089731	0,113948	0,049436	0,064847	0,021434	0,023448	0,079141	0,07354	0,020541	0,051769	0,092746	0,056024
Jatrophihabitantales	0	0	0,011587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,012923	0	0	0	0	0	0,026398	0	0	0	0	0	0	0	0	0	0	0
Jiangellales	0,008734	0	0	0	0	0	0	0	0	0	0,009709	0	0	0	0	0,01651	0,018119	0	0,024455	0,010077	0,011031	0	0	0	0,010392	0	0	0,023501	0	0,008972	0	0,023168	0,0192	0	0,037742	0	0,015343	0	0,026596	0	0,013624	0,01018	0	0	0,00849	0,008976	0	0	0	0,008419
Kineosporiales	0,082566	0,037483	0,010721	0,013463	0,016143	0	0,057327	0,041518	0,067686	0,013761	0,111071	0,185691	0,110785	0,032517	0,050418	0,217902	0,373902	0,13426	0,152833	0,050441	0,375941	0,011856	0,030407	0,011711	0,779784	0,072344	0,016938	0,746589	0,128243	0,14148	0,117371	0,265865	0,227519	0,046401	0,495935	0	0,815287	0,614897	0,283706	0,035076	0,737954	0,083288	0,193218	0,025443	0,046605	0,098057	0,106876	0,078027	0,022864	0,156379
Kordiimonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00853	0	0	0	0	0
