species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Acidisphaera rubrifaciens	0,003767	0,002898	0,018998	0,00866	0,009836	0,002643	0,002262	0,007183	0,003738	0,002438	0,004504	0,001637	0,001009	0,001961	0,001149	0,00503	0,00678	0,001241	0,000877	0,001462	0,002083	0,004348	0,006027	0,057147	0,002025	0,002983	0,006698	0,002483	0,002481	0,000987	0,003701	0,002835	0,011216	0,004469	0,0023	0,004482	0,001445	0,003335	0,002205	0,014437	0,001986	0,002869	0,002842	0,002725	0,021333	0,005475	0,001386	0,003905	0,010269	0,002058
Acidithiobacillus caldus	0	0	0	0,000935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000872	0	0	0	0	0	0	0	0	0,000694	0
Acidithiobacillus ferrivorans	0	0	0	0,001648	0	0,002788	0	0,000684	0,001677	0	0,002205	0	0	0	0	0	0,001878	0,000761	0	0	0	0	0,001856	0,000777	0	0,000749	0	0,000721	0	0	0,000813	0,000799	0,002418	0	0	0	0,000715	0,000698	0	0,002412	0	0	0	0,00092	0,001775	0	0	0,000823	0,001501	0,000705
Acidithiobacillus ferrooxidans	0	0	0	0	0	0,000801	0	0	0	0	0,000859	0	0	0	0	0	0,000748	0	0	0,00073	0	0	0	0	0	0,000714	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000714	0	0	0	0	0	0	0	0	0	0,001058
Acidobacteria bacterium	0,255942	0,107021	0,361073	0,488211	0,195039	0,676437	0,06561	0,434947	0,428958	0,125887	0,35064	0,174361	0,104568	0,134399	0,163935	0,535169	0,913623	0,153444	0,221584	0,109604	0,349156	0,137456	0,358791	0,449741	0,310629	0,303754	0,159102	0,63105	0,196477	0,235512	0,266175	0,391955	0,450113	0,129502	0,318004	0,179586	0,110252	0,526396	0,364753	0,427408	0,353374	0,298335	0,131251	0,165581	0,40735	0,396748	0,138273	0,293171	0,455002	0,466642
Acidobacteriales bacterium	0,00114	0	0,004795	0,009513	0,003222	0,00438	0	0,003019	0,004749	0	0,003274	0	0	0,000812	0	0,002236	0,00766	0	0	0	0,000709	0	0,001873	0,003461	0,000742	0	0	0,000876	0	0	0	0,000893	0,003546	0	0	0,002532	0	0,000936	0,000751	0,005741	0,000697	0	0	0,001068	0,002688	0,001626	0,001011	0,000693	0,005851	0,000781
Acidobacteriia bacterium	0,006292	0,002434	0,021257	0,039969	0,011533	0,020121	0,002582	0,01704	0,024899	0,003552	0,020728	0,002899	0,000943	0,005325	0,002367	0,017196	0,030779	0,001661	0,002744	0,003272	0,005992	0,003541	0,01335	0,017902	0,006629	0,006067	0,005499	0,008157	0,005243	0,001924	0,007785	0,006826	0,019635	0,003828	0,002753	0,01075	0,001322	0,006466	0,005606	0,026572	0,00299	0,008162	0,001461	0,005966	0,013197	0,009813	0,006223	0,006341	0,023284	0,007469
Acidobacterium ailaaui	0	0	0,004223	0,001976	0	0,122661	0	0,000981	0,001582	0	0	0	0	0,00646	0	0	0,006925	0	0,000734	0	0	0,000738	0,001722	0,004313	0	0	0	0	0	0	0,002157	0	0,001062	0	0	0,000829	0	0,037497	0	0,015246	0	0	0	0,001351	0,031516	0,011854	0	0	0,001853	0
Acidobacterium capsulatum	0	0	0,004309	0,002759	0	0,105799	0	0,001111	0,001732	0	0,000749	0	0	0,006346	0	0,000977	0,007514	0	0	0	0	0,000796	0,00167	0,00374	0	0	0	0	0	0	0,001853	0	0,002013	0	0	0	0	0,041301	0	0,013712	0	0	0	0,001517	0,027881	0,011542	0	0	0,002546	0,000681
Acidocella aminolytica	0,000754	0,000863	0,002873	0,003529	0,001823	0,001798	0	0,002468	0,001954	0	0,002193	0	0	0	0	0,002002	0,002902	0	0	0,000877	0,000733	0,001224	0,002804	0,005737	0	0,00092	0,001899	0,000703	0,00083	0	0,002027	0	0,00278	0,00087	0,000722	0,000977	0,001071	0,001241	0	0,007274	0,000758	0,000687	0	0,000961	0,007697	0,000958	0	0,001345	0,00374	0
