genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Actinopolyspora	0	0	0	0	0	0	0	0	0	0	0,001039	0	0	0	0	0,001163	0,001272	0	0,002868	0	0,002384	0	0	0	0	0,00107	0	0,001068	0	0	0	0,00114	0,001719	0	0,004356	0	0	0,00105	0,002841	0	0,00109	0	0	0	0	0	0	0	0	0,001151
Actinospica	0,001391	0	0,001891	0	0	0	0	0,002436	0,002589	0	0,003061	0	0	0	0	0,003349	0,002602	0	0,004197	0	0,001202	0	0,002067	0,001936	0	0	0	0,001436	0	0,001029	0	0,002653	0,004692	0,001123	0,003926	0	0,001188	0,00105	0,003784	0	0,001049	0,001648	0	0	0,001331	0	0	0	0,001122	0,001234
Actinosynnema	0,001256	0	0	0	0	0	0	0	0,001699	0	0,00153	0,001389	0	0	0	0,00107	0,001066	0	0,007653	0	0,003049	0	0	0	0	0,001139	0	0	0	0,00211	0,00103	0,00301	0,001333	0	0,006657	0	0	0	0,003541	0	0,001075	0,002983	0	0	0	0	0,0012	0	0	0,001733
Actinotalea	0,003478	0	0	0	0	0	0	0,003549	0,003098	0	0,004422	0,003185	0,001052	0	0	0,006105	0,010003	0,002861	0,00369	0,002075	0,003991	0	0	0,001493	0,005613	0,002676	0	0,007446	0	0,003223	0,002797	0,008156	0,00719	0,002676	0,017029	0	0,005188	0,005414	0,025609	0	0,012508	0,003518	0,001314	0,001599	0,002877	0,002967	0,001168	0,002479	0,001549	0,003631
Acuticoccus	0,003786	0,003926	0,005564	0,008744	0,006478	0,00329	0,003143	0,007097	0,007394	0,003051	0,008669	0,004404	0,003972	0,004024	0,001747	0,009142	0,011797	0	0,004969	0,004414	0,006126	0,003916	0,006423	0,007636	0,006431	0,006397	0,004088	0,007086	0,003987	0,006152	0,00621	0,005793	0,00775	0,003133	0,010865	0,003448	0,007764	0,008055	0,005363	0,009657	0,008326	0,005796	0,00153	0,003757	0,010583	0,007125	0,001958	0,00525	0,00992	0,00657
Adhaeribacter	0,01185	0,007242	0,004571	0,009674	0,005747	0,003465	0,005748	0,008689	0,012641	0,003863	0,010631	0,01326	0,009405	0,009996	0,004976	0,022176	0,029385	0,010665	0,030907	0,00711	0,026937	0,013343	0,006369	0,016049	0,016826	0,008979	0,007925	0,018054	0,007271	0,013955	0,007262	0,029423	0,00741	0,004805	0,008352	0,002912	0,007732	0,014563	0,066844	0,008961	0,015253	0,013398	0,013577	0,005719	0,007967	0,007908	0,006008	0,006998	0,022666	0,009087
Advenella	0,004921	0,005687	0,004434	0,007973	0,004728	0,007596	0,004904	0,009489	0,008776	0,003512	0,010632	0,004434	0,00438	0,005935	0,003734	0,005715	0,007856	0,002541	0,004584	0,006546	0,005502	0,009507	0,012069	0,005815	0,005711	0,005157	0,009373	0,005097	0,003751	0,003395	0,008571	0,004639	0,009587	0,004695	0,005509	0,004272	0,006783	0,004992	0,003675	0,01172	0,005466	0,004964	0,001655	0,008729	0,0104	0,00564	0,005333	0,007256	0,010547	0,005702
Aeoliella	0,001894	0	0	0	0	0	0	0,002893	0,002269	0	0,002958	0,001642	0	0	0,00112	0,004644	0,004636	0	0,002825	0	0,003192	0	0	0,001447	0,003343	0,00281	0	0,004927	0,001145	0,002128	0,001155	0,003445	0,001198	0	0,003251	0	0	0,002713	0,001716	0	0,002557	0,003439	0	0	0,001929	0,003052	0	0,001316	0,00232	0,00429
Aequorivita	0	0	0	0	0	0	0,001103	0	0	0	0,001058	0	0,001074	0	0	0,00353	0,004413	0,001061	0,003263	0	0,002953	0,001668	0	0	0,002899	0	0	0,002519	0	0,001539	0	0,002753	0	0	0,001109	0	0,001284	0,003096	0,002901	0	0,001155	0,001141	0,002101	0	0	0	0	0	0,00235	0
Aerococcus	0,001469	0,002315	0,002141	0,003251	0,001377	0	0,001421	0,003103	0,002742	0	0,003363	0,002403	0,001773	0	0,002744	0,003211	0,00316	0,002401	0,001037	0,002301	0,00143	0	0,001203	0,001506	0,002283	0,001307	0	0,001399	0	0	0,00103	0,001095	0,00287	0,001544	0,001412	0,002475	0,001448	0,002711	0	0,001535	0,001337	0,001365	0,002148	0	0,004319	0,003765	0,001263	0,002495	0,002809	0,002233
Aeromicrobium	0,011063	0,030015	0,002602	0,004038	0,001578	0	0,002714	0,010372	0,008682	0,004042	0,013115	0,01961	0,005809	0,001935	0,009877	0,01854	0,016151	0,008836	0,017978	0,010893	0,014968	0,003099	0,003688	0,004527	0,01819	0,016992	0,002146	0,106963	0,012702	0,01402	0,015891	0,133512	0,018794	0,009686	0,026886	0,001332	0,013093	0,012321	0,105661	0,004284	0,063257	0,015412	0,004696	0,005891	0,008326	0,012807	0,004332	0,015257	0,008118	0,013261
Aeromonas	0,018381	0,013593	0,008804	0,016758	0,013308	0,018581	0,011925	0,028347	0,018194	0,010239	0,02285	0,014767	0,018936	0,017275	0,019663	0,015371	0,020181	0,032652	0,012619	0,018706	0,037187	0,016226	0,018627	0,014667	0,018324	0,017892	0,014625	0,021426	0,018344	0,013664	0,020545	0,016019	0,02165	0,030885	0,067306	0,010522	0,022635	0,046969	0,012678	0,019367	0,058351	0,013571	0,021317	0,028197	0,039582	0,020007	0,010955	0,060678	0,016547	0,105957
Aerosticca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001399	0	0,001751	0	0,001257	0	0	0	0	0,001222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aestuariibacter	0	0,001109	0	0,001136	0	0	0,001069	0,001187	0,001753	0	0	0	0,003032	0	0,001379	0	0	0	0	0	0	0	0,001255	0	0	0	0	0,001079	0	0	0	0	0	0,001067	0	0	0	0	0	0	0	0	0,00152	0	0	0	0	0	0	0
Aestuariibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aestuariicella	0,006631	0,002054	0	0,003192	0	0,002381	0	0,004405	0,007497	0,001212	0,00674	0,001036	0,001118	0,002304	0,002114	0,007503	0,005252	0	0,004821	0,003812	0,007967	0,001438	0,002686	0,001162	0,001069	0,006669	0,001414	0,002082	0,003238	0,003497	0,004731	0,003289	0,002729	0	0,004026	0	0,006129	0,00925	0,001713	0,002371	0,001354	0,006276	0	0,002079	0,005018	0,008715	0,001484	0,001853	0,010103	0,011698
Aestuariimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001281	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001041	0,001816	0	0,001811	0	0	0	0,010553	0	0,004047	0	0	0	0	0	0	0	0	0
