genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Cryphonectria	6681	69919	34087	29236	3546	95678	82983	21573	81351	452817	19007	2667	36959	8720	1342	18006	61	2066	473	12432	645	81476	68905	10538	61	55201	231529	1012	5331	4533	73956	680	80372	14601	1686	13325	4303	530	0	28979	1182	4705	25250	138021	66511	618	335	42430	1240	3880
Cryptococcus	210	3930	3468	700	450	760	2515	1023	646	1358	44	452	1490	553	2261	1290	236	1045	114	239	911	2106	1051	581	365	1089	2039	1536	328	474	443	3534	417	213	1318	225	671	403	402	636	599	577	4706	1306	1051	130	282	2341	171	478
Cucumispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucurbitaria	275	970	1084	582	104	2320	1012	426	547	1251	67	620	749	672	1126	650	269	591	198	88	980	3105	571	1440	157	255	5382	7616	112	1693	888	2450	272	102	643	137	801	1078	818	1476	2106	275	1384	2511	520	43	71	360	561	177
Cudoniella	21986	50495	41719	60764	5576	29374	35913	42196	29441	2967	3872	6229	14757	86399	890	38365	6634	1657	3204	5370	21685	56070	37378	19339	818	9338	37018	1613	2531	14980	4357	7417	5294	1839	2428	6318	19458	16855	965	69583	8414	9992	7518	27131	45846	3785	6697	3511	35426	7844
Curvularia	348	860	1433	445	105	1699	717	369	458	1846	232	316	558	590	499	455	0	423	124	150	806	1987	996	719	178	438	4759	21500	100	427	920	3934	570	106	392	336	1030	236	3623	583	1115	222	1190	524	333	65	128	819	355	34
Cutaneotrichosporon	20	265	342	0	0	0	295	0	0	0	0	30	0	0	371	37	0	117	0	14	0	216	201	0	0	152	225	281	19	17	0	548	0	18	0	0	0	0	287	0	0	0	564	0	0	0	0	0	0	0
Cylindrobasidium	18	0	0	0	0	0	0	0	0	13	0	0	0	171	0	92	172	0	0	0	0	0	0	177	0	0	192	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cylindrodendrum	345	685	334	625	86	201201	836	942	315	1140	43	0	229	4174	0	277	0	396	37	165	0	1680	327	358	107	290	1043	1107	62	122	255	0	279	58	191	56	420	1047	0	1031	155	0	208	6387	1956	221	51	477	659	458
Cyphellophora	320	1877	2173	843	183	3833	2193	812	755	1853	367	162	751	1208	655	904	324	193	132	132	3196	3143	1120	1621	51	1474	2624	4339	302	232	1008	1471	501	105	1445	160	596	176	3676	1727	1602	409	1368	763	1562	104	123	847	696	221
Cystobasidium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	0	0	0	0
Cytospora	1505	15384	9048	6849	943	24329	17475	5208	15996	92208	3952	638	8274	3835	384	4147	0	487	123	2636	210	17251	13039	2778	25	11445	49466	581	1182	1167	15599	221	16530	2974	623	2951	1566	271	0	6805	650	1149	5396	26008	14836	193	142	9117	680	934
Dacryopinax	16	0	0	175	0	0	0	0	0	13	0	0	184	0	0	112	156	24	0	0	0	0	25	282	0	0	260	142	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dactylella	209	768	904	565	87	1202	352	513	311	576	33	67	334	806	0	606	0	21	0	91	0	1652	377	325	0	231	1075	230	40	186	182	195	32	56	0	54	211	173	0	810	0	47	193	520	692	37	58	0	281	0
Dactylellina	183	716	925	572	96	2842	495	450	440	584	31	54	500	943	0	528	27	53	45	75	139	1920	446	1401	0	190	4579	315	67	21	295	172	209	51	0	98	55	156	0	1001	218	218	260	496	637	35	58	0	415	0
Daedalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daldinia	966	4613	4073	2976	583	14455	3525	2516	2566	8392	674	291	1891	5288	187	1628	223	280	140	573	739	6893	2161	3809	79	1553	10283	1044	250	622	2395	559	1840	321	949	674	1188	575	25	9320	5073	493	863	5165	3601	706	216	1380	1657	372
Decorospora	186	612	784	364	73	2094	564	149	376	509	28	273	517	555	560	422	143	225	78	74	541	991	307	618	65	193	2295	7307	150	472	436	1993	190	19	254	90	390	453	428	706	711	204	823	551	211	54	37	154	417	0
Delitschia	509	1405	1513	971	141	3675	931	611	740	1177	34	386	844	1523	258	1196	251	177	107	128	885	2127	612	954	51	349	1905	1424	131	329	676	680	322	95	381	146	506	417	34	1400	741	395	750	896	937	64	94	385	901	176
Delphinella	3436	18377	3150	4207	524	8488	3791	3606	1558	11098	2125	785	1840	2141	4373	17350	39	403	111	334	1193	10520	1650	1640	93	846	23384	5560	953	912	3482	4591	1342	2131	7890	386	861	626	257	3822	620	1404	6064	2965	16095	736	206	4052	1309	2487
Dendrothele	0	161	0	145	0	0	40	0	17	0	0	0	0	202	263	53	387	0	27	30	0	0	0	212	0	220	187	0	15	29	0	0	0	16	142	0	0	157	0	0	0	0	16	0	0	0	0	0	0	363
Dentipellis	0	0	0	0	0	0	0	0	0	0	0	0	0	1145	0	119	180	0	0	0	0	0	0	435	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	0	0	0	0	0
Diaporthe	6613	54840	152559	23351	3621	84130	92116	18526	54482	326961	21539	3627	27329	11845	6219	13965	536	4620	1495	8772	4015	56599	44307	9719	185	40405	185642	4660	12462	10402	55992	2612	56203	10083	11243	11972	34328	1836	822	21871	10167	4264	19024	106610	47976	1264	589	68129	3373	4083
Dichomitus	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	54	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dictyocoela	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Didymella	1008	2342	4538	1787	297	5123	1808	1118	2048	6006	1263	1103	2472	1575	1375	1313	472	1455	375	422	3501	4496	4168	3265	455	913	19332	46398	838	2452	2283	9729	956	244	1239	2855	4874	755	10647	1958	7770	821	4715	2361	1382	168	490	2140	1282	712
Didymosphaeria	599	1431	1632	907	131	3839	964	574	792	1172	208	950	1522	1477	460	1300	420	424	223	136	1939	1975	656	1004	101	415	2047	1740	189	678	888	815	282	90	476	92	797	689	216	1518	1305	438	909	860	899	120	118	434	969	236
Dimargaris	0	164	486	174	78	0	129	148	0	13	0	97	234	0	0	256	255	81	0	35	0	0	128	152	51	22	0	0	51	161	16	0	251	35	0	55	165	17	206	0	0	25	163	166	374	47	38	165	30	0
Diplocarpon	11006	25135	18992	33239	3868	11834	18500	20011	10763	1496	1314	3473	12775	42932	392	18876	1400	900	1435	2658	9316	24933	14096	7712	420	2700	16736	739	928	7346	1969	3541	1563	1095	1088	3013	9536	8132	75	31022	493	4950	2604	13166	22430	1733	3108	1748	16914	3685
Diplodia	547	2126	2199	1556	230	6177	1631	1012	1181	3235	269	233	1286	2086	293	1533	35	136	112	217	550	7586	1194	1305	50	604	3495	1755	237	436	1034	899	709	172	470	241	569	327	179	2396	612	431	935	1630	1693	119	152	860	1139	241
Discosia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dissoconium	321	3643	3246	1287	521	10114	4287	766	1237	2296	300	360	2477	1536	1715	1031	0	467	71	177	411	6461	1405	829	858	777	5908	9025	1081	351	1509	2757	950	177	2628	302	509	151	377	2540	646	958	4214	870	993	295	267	1536	1141	281
Dissophora	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	32	0	0	29	0	0	0	0	0	0	0	0	0	0	0
Diversispora	365	4183	4929	1095	921	5812	2866	1874	1211	1903	361	805	2572	2813	1028	2449	641	1200	706	343	2047	2805	1138	865	647	1115	2181	3001	481	1237	620	2093	1188	292	2153	545	1590	1125	1655	1385	1128	1401	2845	3881	1800	339	747	4003	470	1265
Dothidotthia	624	2033	1938	1582	156	3094	1410	1179	865	2405	227	585	1016	2111	739	1262	288	351	160	218	1197	3239	1134	1098	94	557	3800	5504	198	845	1021	1910	569	144	480	295	945	799	637	2223	920	496	1289	1187	1584	141	186	563	1019	284
