species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Penicillium decumbens	139	360	721	355	55	1204	306	0	225	305	0	44	218	401	0	243	0	0	0	39	0	1448	255	508	0	0	718	1253	0	16	194	0	103	14	0	87	28	0	0	641	0	24	168	137	1444	26	15	1088	204	0
Penicillium digitatum	39	0	137	0	0	746	49	0	0	433	0	0	0	0	0	0	0	0	0	11	0	1244	0	44	0	0	492	1549	0	0	0	0	46	0	0	45	0	0	0	142	0	0	0	0	378	0	0	502	0	0
Penicillium expansum	98	167	279	200	0	2108	210	0	132	378	0	23	29	402	0	0	0	0	0	0	0	2043	153	204	0	0	613	1793	0	0	0	0	65	0	0	49	11	0	0	224	0	28	0	128	572	18	0	695	163	0
Penicillium flavigenum	0	0	138	0	27	411	48	0	0	217	0	0	0	0	0	0	0	0	0	0	0	741	0	0	0	0	257	878	0	0	0	0	30	0	0	0	0	0	0	167	0	0	0	0	269	0	0	347	0	0
Penicillium freii	44	181	212	197	0	639	188	0	134	258	0	24	169	296	29	27	0	0	0	23	0	960	147	31	0	0	390	943	0	0	14	0	25	0	0	15	0	0	0	179	0	0	24	0	339	0	0	286	24	0
Penicillium griseofulvum	59	152	254	198	38	863	0	0	0	133	0	0	145	270	0	0	0	20	0	0	0	1957	148	189	0	0	442	2497	0	0	0	0	69	0	0	41	11	0	0	230	0	0	0	0	590	0	12	853	0	0
Penicillium italicum	50	0	198	141	0	583	41	0	130	157	23	0	19	216	0	0	0	0	0	0	0	1434	116	27	0	0	389	1694	0	16	0	0	40	0	0	0	11	0	0	180	0	0	0	0	392	0	0	603	0	0
Penicillium nalgiovense	25	0	156	138	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	1181	22	31	0	0	291	1520	0	0	0	0	52	0	0	18	0	0	0	0	0	0	0	0	294	0	0	568	0	0
Penicillium nordicum	46	320	151	156	0	773	221	0	163	228	0	0	289	213	24	0	0	16	0	46	0	1368	152	153	0	0	494	1613	0	0	0	0	48	14	0	47	17	0	0	181	0	0	24	168	357	0	0	627	0	0
Penicillium oxalicum	75	291	485	214	41	1147	224	0	180	493	0	0	198	254	0	19	0	0	0	44	0	997	190	258	0	0	638	746	15	0	183	0	61	14	0	63	12	0	0	522	0	24	0	149	484	0	12	420	36	0
Penicillium polonicum	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	0	18	0	0	0	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	249	0	0
Penicillium rolfsii	115	344	730	315	49	1148	307	0	245	438	0	0	202	427	0	226	0	0	0	46	0	1238	269	292	0	126	810	913	0	0	182	0	57	41	0	70	20	0	0	522	0	29	0	178	740	27	13	659	210	0
Penicillium roqueforti	108	215	462	258	45	1181	211	0	163	338	0	25	198	391	0	254	0	0	0	11	0	2351	160	190	0	0	658	2909	0	0	15	0	63	16	0	62	0	0	0	272	0	34	0	131	718	17	14	1039	188	0
Penicillium rubens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0
Penicillium solitum	0	0	0	0	0	0	38	0	0	184	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	454	0	394	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0
Penicillium steckii	250	799	1433	655	95	2882	639	575	404	863	41	75	368	1013	0	508	0	71	0	105	139	3616	477	662	27	216	2142	3834	62	47	423	165	535	46	0	196	229	147	175	1061	192	85	284	606	2152	73	64	3337	446	0
Penicillium subrubescens	147	783	1419	516	118	1970	507	372	335	612	24	87	284	777	0	443	0	43	0	88	160	1583	311	453	0	141	1040	1128	65	188	223	0	84	32	137	139	223	195	0	739	0	212	231	476	1176	45	74	1099	293	0
Penicillium vulpinum	87	281	482	257	22	1330	243	0	184	468	0	0	207	369	0	18	0	21	23	37	0	2549	208	253	0	0	823	2710	19	17	22	0	91	17	0	69	15	0	0	418	0	0	0	142	646	22	12	1052	121	0
Periconia macrospinosa	584	1632	2485	1233	201	4893	1275	911	1008	2082	224	563	1301	1723	876	1256	774	432	170	165	1341	3013	886	2372	170	624	3809	5035	197	583	1095	2981	594	128	595	235	1982	1983	559	1730	1348	402	1742	1164	1173	135	128	758	905	266
Pertusaria plittiana	0	0	0	0	0	1062	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	163	58	0
Pertusaria propinqua	0	0	0	0	0	1807	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
Pestalotiopsis fici	1707	4396	5794	4567	972	20514	5850	2231	1993	8415	590	302	1696	5474	194	1425	259	1908	265	879	610	26290	2564	3264	67	1555	28522	1952	717	720	6984	669	1737	324	1204	756	2716	1321	344	11638	41634	464	1869	8961	4023	578	185	1694	1720	562
Phaeoacremonium minimum	1747	10251	6145	5393	1468	40274	8619	5481	6672	31467	1540	538	4132	11400	209	3024	379	387	261	1726	891	10350	5481	3138	114	5111	20138	1186	632	1080	5792	662	5782	1098	1302	1509	1529	756	172	10246	2160	907	2209	16019	9994	472	361	3660	2218	836
Phaeomoniella chlamydospora	442	2282	3477	1378	241	5507	1285	890	1134	2081	85	201	965	1726	207	1409	190	113	161	204	513	3578	1049	1567	41	608	4271	659	164	258	2871	558	4714	474	346	201	474	273	26	3019	424	593	825	1447	2492	131	118	1546	833	191
Phaffia rhodozyma	15	234	161	135	0	0	0	0	0	15	0	0	0	25	182	63	0	65	0	26	0	403	173	191	0	46	463	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	283	0	0	17	0	129	25	0
Phakopsora meibomiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0
Phanerochaete carnosa	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	70	0	0	0	0	0	0	0	172	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
